house_id,total_gas_usage,Block,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels
ac2f7c77,0.0,22,1359,0
7407e44b,0.0,28,1156,0
8c46fac9,0.0,28,0,0
efd90c76,0.0,23,1279,0
4ca0c4ec,0.0,26,1270,0
6e369e62,0.0,26,1226,0
cdaaab25,0.0,29,1140,0
314fdb11,0.0,29,1493,1956
314fdb11,0.0,29,0,0
50ee1f40,0.0,36,1133,0
d5916302,0.0,17,973,0
e48445a5,0.0,15,1133,0
50d1ca84,0.0,15,1297,0
3d870d2d,0.0,17,1150,0
c296901c,0.0,17,0,0
c296901c,0.0,17,0,0
1bc7dca4,0.0,33,1392,0
bfeec959,0.0,33,1157,0
c6ba88aa,0.0,18,979,0
e06f63d8,0.0,18,1190,0
9cad1cfb,0.0,18,1121,0
4e4e3620,0.0,18,1088,0
f2a9bc79,0.0,18,1147,0
c4f30eeb,0.0,28,1226,0
3df911e8,0.0,28,1135,0
db3a3c07,0.0,19,1096,0
136cad8d,0.0,19,1096,0
54df8e88,0.0,19,1004,0
f2edc9bb,0.0,19,1135,0
fd612a67,0.0,19,1083,0
6680db42,0.0,29,1107,0
8c56d780,0.0,29,1059,0
e35ae366,0.0,27,1263,0
caf31495,0.0,3,0,0
571af134,0.0,3,0,0
e912d342,0.0,3,0,0
e0038fe5,0.0,19,1169,0
47a5aa18,0.0,32,0,0
47a5aa18,0.0,32,0,0
47a5aa18,0.0,32,0,0
9b41e5eb,7129.4400000000005,28,1258,1920
9b41e5eb,7129.4400000000005,28,0,0
8d0114e9,0.0,28,1114,0
1321f878,0.0,2,1406,46777
1321f878,0.0,2,0,0
ef660a48,30721.800000000003,29,1397,25089
ef660a48,30721.800000000003,29,0,0
05e7052a,0.0,30,1182,0
b37dab6a,0.0,32,0,0
b37dab6a,0.0,32,0,0
32c70da1,0.0,19,1440,2519
32c70da1,0.0,19,0,0
fc8cb7e3,0.0,7,0,0
fc8cb7e3,0.0,7,0,0
fc8cb7e3,0.0,7,0,0
fc8cb7e3,0.0,7,0,0
fc8cb7e3,0.0,7,0,0
fc8cb7e3,0.0,7,0,0
fc8cb7e3,0.0,7,0,0
fc8cb7e3,0.0,7,0,0
ad17ec75,0.0,31,1230,0
9b79274a,0.0,31,944,0
8aa67b90,0.0,31,1147,0
14f1467f,0.0,31,1111,0
5e15e87d,0.0,19,1162,0
1a96a7fd,0.0,19,990,0
77e5c68b,0.0,19,1481,3154
77e5c68b,0.0,19,0,0
7edbe29c,0.0,35,1168,0
67741535,0.0,17,1243,0
67741535,0.0,17,0,0
67741535,0.0,17,0,0
67741535,0.0,17,0,0
67741535,0.0,17,0,0
67741535,0.0,17,0,0
e016da5f,0.0,35,1297,0
d5827bf8,0.0,35,1201,0
1e39428e,132840.0,35,1370,12897
1e39428e,132840.0,35,0,0
13e70e11,0.0,18,1110,0
44919fb4,0.0,30,1181,0
4403e20e,0.0,30,1113,0
45e4f977,0.0,29,1153,0
845c3aa6,0.0,28,986,0
73c49b90,0.0,28,1045,0
111137ef,0.0,27,1251,0
7de0873b,0.0,25,969,0
82e577e5,0.0,25,1095,0
08fb36f2,0.0,29,1068,0
5c40e192,0.0,29,1068,0
4c491877,0.0,29,898,0
80ba20f1,0.0,15,1302,0
3710296d,0.0,28,1074,0
f3fa4371,0.0,28,1067,0
d666408b,0.0,29,1274,0
3bd293e6,0.0,29,1232,0
f28656c7,0.0,19,1115,0
e14301b8,0.0,19,1071,0
a6d4e122,0.0,19,1162,0
79ee847d,0.0,32,1057,0
6f24c9c4,0.0,30,1204,0
bf08a5e6,0.0,19,1147,0
4a0957b5,0.0,19,994,0
756bf6b6,0.0,28,1183,0
05a1fb78,0.0,18,1464,810
05a1fb78,0.0,18,0,0
31278cd3,0.0,18,1123,0
9cf87808,0.0,7,1434,40452
9cf87808,0.0,7,0,0
9cf87808,0.0,7,0,0
9cf87808,0.0,7,0,0
9cf87808,0.0,7,0,0
9cf87808,0.0,7,0,0
9cf87808,0.0,7,0,0
41899b94,0.0,27,1241,0
2cab7708,0.0,34,1219,0
8d16f878,0.0,17,1075,0
4b088f87,0.0,17,1087,0
c7c82054,0.0,17,1087,0
90d414ce,0.0,17,1094,0
74ff89ed,210912.0,30,1373,2290
74ff89ed,210912.0,30,0,0
445fb47f,0.0,35,1199,0
c62c0d9b,0.0,30,1238,0
74025a1d,0.0,35,1329,0
ab9ceadc,0.0,33,1341,0
030a3588,0.0,17,0,0
5e731e0f,0.0,19,1184,0
0124d46a,0.0,19,1191,0
692bdb31,0.0,33,1243,0
72674600,0.0,28,1114,0
770ea336,0.0,31,1269,0
a17b45f1,0.0,36,1305,0
ac09d96c,0.0,17,1205,0
bdea7ff6,0.0,17,1082,0
fe2e1097,0.0,17,911,0
58ef8319,0.0,17,0,0
af218660,0.0,30,862,0
75680ab2,0.0,34,1370,3207
75680ab2,0.0,34,0,0
75680ab2,0.0,34,0,0
ede757a1,0.0,28,989,0
c6641fae,0.0,19,1235,0
7d3a510d,0.0,28,1166,0
1ef38208,0.0,28,1166,0
d70a13fa,0.0,17,1333,2502
d70a13fa,0.0,17,0,0
3b397a67,0.0,29,1425,1639
3b397a67,0.0,29,0,0
cd094de1,0.0,25,1043,0
20d3c8ee,0.0,25,1269,0
f9d6aba3,0.0,29,1223,0
0133e530,0.0,31,1011,0
74f1d1a5,0.0,31,1226,0
9da10cd5,0.0,18,1174,0
433ef638,0.0,18,1158,0
87907553,0.0,18,1158,0
bbdba13c,0.0,25,0,0
bbdba13c,0.0,25,0,0
cf347ff2,0.0,30,1010,0
aafbc855,0.0,30,1185,0
e49461f5,0.0,30,1258,0
52b70921,0.0,28,1114,0
70d7f74f,0.0,28,1096,0
8ab458fa,0.0,28,999,0
93ab83ed,0.0,28,1096,0
e475da56,0.0,28,999,0
67be02f2,0.0,22,1217,0
80d6ae58,0.0,26,1314,0
e2d3d42a,0.0,22,1270,0
1a509a3a,0.0,28,1156,0
bfc088fa,0.0,32,0,0
76bb5d2c,0.0,32,0,0
ba2b97f5,0.0,28,1145,0
dd6cafc2,0.0,28,0,0
fe150f63,0.0,34,0,0
7ff955f5,0.0,19,1445,0
c71bcd3b,0.0,19,1201,0
d106d111,0.0,2,1511,2220
d106d111,0.0,2,0,0
d106d111,0.0,2,0,0
d106d111,0.0,2,0,0
919cb985,223586.40000000002,3,1494,194
919cb985,223586.40000000002,3,0,0
919cb985,223586.40000000002,3,0,0
6d04e504,0.0,28,1182,0
2fd10ef7,0.0,29,1130,0
0a6a4c29,0.0,29,1139,0
f8e061c7,0.0,29,1179,0
4391414f,0.0,29,1130,0
d02f57eb,0.0,30,1286,0
eb4f6e25,0.0,28,1152,0
0153d020,0.0,36,1361,0
5ba19518,0.0,36,1196,0
bfb63095,0.0,30,1148,0
4e1cbb37,0.0,29,1055,0
16e4c0d5,0.0,29,1213,0
30696c24,0.0,29,1172,0
2f7f277e,0.0,19,1094,0
5e499ef3,0.0,19,1040,0
037427ef,0.0,17,1156,0
7fe477be,0.0,19,1148,0
2186684e,0.0,19,1040,0
5a28facd,0.0,19,1162,0
75cf52bf,0.0,12,1203,0
0741345d,0.0,12,1181,0
a94f1545,0.0,33,1366,0
6318a6c9,0.0,18,1045,0
4e28a11e,0.0,18,1138,0
c597c8c1,0.0,18,1045,0
f5faa0c6,0.0,34,1496,881
f5faa0c6,0.0,34,0,0
b9f335de,0.0,35,1475,0
7e32be23,44862.0,36,1380,11928
7e32be23,44862.0,36,0,0
721e159f,0.0,19,1169,0
389fb08c,0.0,20,1251,0
0ed3f945,0.0,21,1296,0
5ca66d5a,0.0,20,1251,0
54bb33fc,0.0,17,1045,0
c268d529,0.0,31,1218,0
66fa5760,0.0,17,1183,0
5d060bf7,0.0,28,1438,987
5d060bf7,0.0,28,0,0
97f74530,0.0,19,1175,0
587a68ce,0.0,30,1044,0
9bf15a6e,0.0,30,1111,0
85d5786c,0.0,28,1196,0
00b126c1,0.0,33,1302,0
32e1ae5c,0.0,33,1223,0
caa6f88b,0.0,33,1223,0
ff82aa32,0.0,33,1302,0
c3028d6c,0.0,28,0,0
c3028d6c,0.0,28,0,0
c3028d6c,0.0,28,0,0
c3028d6c,0.0,28,0,0
8e23412a,0.0,19,1123,0
db0011ca,0.0,2,1358,1832
db0011ca,0.0,2,0,0
db0011ca,0.0,2,0,0
ffeef2a7,0.0,32,1380,14993
ffeef2a7,0.0,32,0,0
ffeef2a7,0.0,32,0,0
ffeef2a7,0.0,32,0,0
ffeef2a7,0.0,32,0,0
283423dd,0.0,36,1200,0
ea8db165,0.0,19,1197,0
89682b71,0.0,28,1175,0
89682b71,0.0,28,0,0
f67ec69f,0.0,30,1163,0
b58468e0,0.0,17,1090,0
bb6ccfa2,0.0,12,1111,0
07facfbe,0.0,28,1126,0
de65f39d,0.0,28,1042,0
4f519f11,0.0,5,0,0
4f519f11,0.0,5,0,0
941c4027,0.0,5,0,0
941c4027,0.0,5,0,0
941c4027,0.0,5,0,0
f2a4c1ad,0.0,30,1175,0
d649539e,0.0,29,1132,0
ac526f6c,0.0,36,1183,0
9deabb89,0.0,18,1208,0
14f26df3,0.0,30,1256,0
e982896a,0.0,30,1184,0
160c0275,0.0,30,1169,0
7465c382,0.0,30,1169,0
73a937ba,0.0,34,1338,0
bff6f82b,0.0,34,1246,0
cc91177b,0.0,31,1012,0
fc4b3b7a,8105.040000000001,4,1384,16702
fc4b3b7a,8105.040000000001,4,0,0
9c4cdd73,0.0,19,1070,0
4bfabe51,0.0,19,1123,0
bc1128fe,0.0,20,1240,0
176043eb,0.0,15,1349,0
1aa1efc1,0.0,26,1226,0
39a26bcd,0.0,26,1250,0
e079a828,0.0,26,1209,0
118736e8,0.0,26,1209,0
29ed6e91,0.0,25,969,0
3016307b,0.0,25,1155,0
77eb8108,0.0,25,1087,0
61529f49,0.0,25,1048,0
24a29cb2,0.0,25,1133,0
30177437,0.0,29,1133,0
af4452c2,0.0,28,1161,0
4c04ffa4,0.0,7,1468,21124
4c04ffa4,0.0,7,0,0
4c04ffa4,0.0,7,0,0
1b2bad0b,0.0,18,1163,0
a72b16ba,0.0,36,1183,0
409757c3,0.0,31,1257,0
fd75b611,0.0,35,1329,0
60fd832b,0.0,30,1251,0
16e592c5,0.0,17,1141,0
cc3549e0,0.0,17,1162,0
665867b0,0.0,17,1131,0
1b2b2a16,0.0,29,951,0
9c18c5fc,0.0,29,951,0
6d403882,0.0,29,1130,0
a5e10daf,0.0,28,1198,0
23e8a8eb,0.0,28,1166,0
8e736fa3,0.0,17,0,0
1ef9515f,0.0,30,888,0
40e65ef1,0.0,7,1414,6942
40e65ef1,0.0,7,0,0
40e65ef1,0.0,7,0,0
40e65ef1,0.0,7,0,0
40e65ef1,0.0,7,0,0
40e65ef1,0.0,7,0,0
8d8aa716,0.0,19,859,0
5b6acee2,0.0,17,1096,0
e6455805,0.0,36,1303,0
c328ff6f,0.0,13,1194,0
90b39f24,0.0,22,1337,0
e28b1951,0.0,19,1312,0
6486cafa,0.0,19,1312,0
c27cbc54,0.0,17,1241,0
