house_id,device_id,gas_meter_id,lat,long,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels,Block
569aaf4b,56506585,40488619.0,42.2107266,-72.62108046,1337,440,812001-3
5edb8c2b,52300847,94746136.0,42.2023386,-72.67913248,1313,634,812101-1
399ac66c,31800850,90953546.0,42.19328524,-72.62832165,1450,1550,812104-2
72be14aa,31042918,35567485.0,42.197369,-72.63657,1436,1092,812104-3
17013f80,83779354,91563605.0,42.19493095,-72.62502683,1363,1656,812104-1
18f1daf5,83770515,40468353.0,42.2100927,-72.6088922,1421,1392,811700-2
f21423f0,31005312,49760481.0,42.203318,-72.62635529,1295,916,812002-4
a99e365d,29619367,49768367.0,42.2027862,-72.62545988,1287,634,812002-3
c8d2352d,28013111,46294965.0,42.2022715,-72.62555717,1293,1163,812002-3
6c40ece7,30128654,46300641.0,42.20274556,-72.62511566,1391,951,812002-3
b0d910d9,18195424,49761878.0,42.20284748,-72.6253389,1287,634,812002-3
44f1b9f3,31803197,40474402.0,42.17946325,-72.65079145,1371,1357,812101-2
20efba60,57531719,40474426.0,42.18012485,-72.65087243,1310,1286,812101-2
bed617be,20376677,35566692.0,42.1796475,-72.65080418,1470,1427,812101-2
37a5ae24,56764294,40474557.0,42.1798692,-72.65084415,1236,1392,812101-2
55aad0b1,31804782,40473960.0,42.1795526,-72.65135503,1351,1533,812101-2
000fe7ba,30524855,33466035.0,42.21060325,-72.68184095,1406,2819,812101-1
2cf6190e,30729239,33419449.0,42.2098276,-72.68192578,1198,2132,812101-1
0d12f2a9,20379004,92337714.0,42.18989785,-72.62815888,1310,652,812104-2
c73e96d2,31802646,33418446.0,42.19011465,-72.62763911,1345,758,812104-2
e0141bf2,11566796,92337527.0,42.17409739,-72.65139821,1493,1956,812101-2
dec094c1,20176515,92334821.0,42.1732964,-72.65328936,1424,1762,812101-2
53c0a6be,11566799,92337501.0,42.17387645,-72.65207083,1397,1938,812101-2
64910021,20176514,35569683.0,42.17307755,-72.65353009,1418,1973,812101-2
5977176c,11566798,92337514.0,42.17409973,-72.65145002,1493,1956,812101-2
445a5d52,11566768,92337517.0,42.17409504,-72.65134641,1493,1956,812101-2
c10abddb,31048981,33418941.0,42.1906906,-72.63664864,1295,1321,812104-4
be2d2305,20380975,40474193.0,42.19168825,-72.63684891,1427,1409,812104-4
c5988d9b,31048978,40488926.0,42.19047595,-72.63672995,1251,1110,812104-4
b590e55f,20380976,40488798.0,42.19148215,-72.63691582,1447,1286,812104-4
01699cd1,29026548,49768148.0,42.19139748,-72.63679288,1447,1286,812104-4
bf66339e,20380223,40474517.0,42.1904615,-72.63726977,1454,1039,812104-4
376d88fb,18204865,90953562.0,42.22559775,-72.635789,1338,1603,811900-1
2eddf669,18204882,46302235.0,42.2256656,-72.63450804,1359,2590,811900-1
66b9f47a,18204860,90971669.0,42.2260683,-72.63476226,1214,1357,811900-1
d0e8416b,18204876,90971666.0,42.2260095,-72.63564999,1437,1779,811900-1
68804a61,29026549,46261396.0,42.20427481,-72.6156537,1403,581,811600-3
135afd08,30525891,40475213.0,42.20437693,-72.61555548,1416,599,811600-3
d09c7764,29618246,35561543.0,42.2040973,-72.61514335,1327,2061,811600-3
c109f9ff,56976557,94746128.0,42.20441096,-72.61552274,1416,599,811600-3
ba141335,30129206,94746198.0,42.20434289,-72.61558822,1415,652,811600-3
b58c0ce3,29339891,49747316.0,42.2041727,-72.61575193,1411,617,811600-3
a602dc54,31801078,46300331.0,42.20430885,-72.61562096,1399,546,811600-3
ebb6aac2,77133750,90008259.0,42.1902992,-72.61621507,1393,31889,812103-1
f49a40a7,31805957,46263639.0,42.21262095,-72.62570454,1487,934,811800-4
c4ea6ba3,31804327,90974852.0,42.1892849,-72.64088583,1380,1374,812101-2
441a2a56,31804704,46263590.0,42.18940915,-72.64125103,1399,1498,812101-2
9b089c80,31804281,35568711.0,42.18877865,-72.64111375,1367,1321,812101-2
c038a5f0,31804278,92337533.0,42.18914975,-72.64083534,1380,1374,812101-2
a708c4b7,77133734,41119824.0,42.19546865,-72.61005314,1368,9021,811500-1
342b3bfc,31801387,40474772.0,42.19871405,-72.63222461,1425,846,812104-3
d4940612,18039010,49755780.0,42.2090627,-72.61473341,1407,687,811800-1
70a0e55e,85116753,90974948.0,42.2089128,-72.61451949,1452,969,811800-1
24169599,31800895,46300107.0,42.208818,-72.61417,1366,617,811800-1
ca0f7a4b,31804212,40475189.0,42.218571,-72.622921,1463,722,811900-2
058354b3,20377739,90971704.0,42.22290405,-72.6258952,1271,1163,811900-2
72babab8,20379649,49760321.0,42.2236195,-72.6253235,1338,2097,811900-2
8187ab4e,57553363,49760808.0,42.2227201,-72.62474689,1329,934,811900-2
498c977d,57553366,49768085.0,42.22323145,-72.62460378,1236,899,811900-2
004ce2ed,20379650,49768043.0,42.22391,-72.625111,1384,1603,811900-2
01df7653,31804371,49769190.0,42.2237189,-72.62456095,1340,1269,811900-2
3b21725e,31801302,33419104.0,42.2235806,-72.62394492,1452,2484,811900-2
3446659d,20379633,49761020.0,42.2240863,-72.62413198,1465,810,811900-2
c685f51d,30129080,40474685.0,42.22346045,-72.62452478,1455,1339,811900-2
5e75ab58,83771922,34356541.0,42.18366175,-72.63704595,1356,969,812104-4
48aba68a,52061969,97063758.0,42.2234645,-72.62786545,1311,1868,811900-2
64869c44,30129089,46335350.0,42.22276335,-72.62835391,1279,722,811900-2
715b9a87,31804901,49761064.0,42.22350685,-72.62750917,1402,793,811900-2
84704ad6,20378913,46300214.0,42.2223868,-72.62815571,1281,1092,811900-2
89a35b27,30524671,49747344.0,42.2229067,-72.62882444,1452,3048,811900-2
1b006dd0,20378914,33418232.0,42.22226225,-72.62836909,1334,969,811900-2
b003f3da,30129177,90971844.0,42.2042936,-72.6802539,1240,1110,812101-1
7d1ffb12,28357422,49768775.0,42.20585111,-72.62076903,1403,722,812001-2
9fb714a6,31804348,35569088.0,42.20570675,-72.62013974,1395,1938,812001-2
a31716c9,20176500,33418998.0,42.20629442,-72.6204127,1368,1057,812001-2
6211d87a,31800855,46263644.0,42.19625027,-72.6195552,1446,1022,812104-1
0e1191ea,20380972,97049158.0,42.2031837,-72.68848452,1268,669,812101-1
006c1be9,20377765,33466486.0,42.2029195,-72.68842605,1256,1180,812101-1
7d54c7c5,20380971,90974292.0,42.20201325,-72.68733757,1204,1374,812101-1
d2c0d9c1,18038727,46302297.0,42.1876166,-72.64161267,1220,1039,812101-2
eee6f669,18019517,92332032.0,42.187651,-72.64111536,1279,1480,812101-2
6502674a,18019519,46335000.0,42.1873709,-72.64157905,1278,1145,812101-2
a3330060,31804328,46302183.0,42.18843775,-72.641836,1270,1233,812101-2
099a43c5,31801970,46300333.0,42.20379705,-72.61638562,1346,705,811600-3
d257055d,56504352,35544044.0,42.20432509,-72.61694506,1424,1427,811600-3
c47a6ce3,20176455,90974789.0,42.20427007,-72.61699655,1435,669,811600-3
30f70b4d,31801755,46335029.0,42.20366576,-72.6165119,1339,705,811600-3
a06e40b7,31801820,49755962.0,42.22205115,-72.6320073,1241,2114,811900-3
112387eb,31116132,46300515.0,42.2222763,-72.63046936,1231,2396,811900-3
7197bc54,52061966,49762653.0,42.21735517,-72.6279712,1387,916,811900-3
e8c09847,31804243,33447832.0,42.20541935,-72.62690343,1437,669,812002-4
5c1e541d,31801957,40474057.0,42.2055321,-72.6266158,1409,740,812002-4
caa082da,31042227,49756448.0,42.2058741,-72.62624066,1350,2484,812001-4
a3e15b7e,31802150,90953483.0,42.22869703,-72.63478379,1197,2731,811900-1
1794e678,31803234,92337957.0,42.22823125,-72.63452145,1385,3541,811900-1
2215832d,83770147,40488448.0,42.2140463,-72.67040655,1262,1903,812101-1
5017980a,83771915,90971716.0,42.19506375,-72.6242395,1376,5885,812104-1
c8300564,31045092,33419477.0,42.18121745,-72.6437211,1437,1163,812101-2
69f65c33,31809123,40474530.0,42.18159775,-72.64302015,1381,2079,812101-2
46ab8d86,31804846,40487777.0,42.1820883,-72.64364355,1297,934,812101-2
36cf6e96,31801113,90974782.0,42.18054045,-72.6436813,1215,1304,812101-2
17f9030a,31809073,40474226.0,42.1818943,-72.64304011,1338,1727,812101-2
40669cf0,31806119,46301596.0,42.18157825,-72.64367227,1465,1480,812101-2
31f5397d,31804845,46295518.0,42.18182505,-72.64365135,1355,1110,812101-2
0118f65f,31042166,46301222.0,42.20662071,-72.6285124,1281,899,812001-4
603f5d8e,20376716,90114452.0,42.20558505,-72.62887715,1351,1885,812001-4
43c5b55b,31804502,49755717.0,42.20673754,-72.62851298,1265,846,812001-4
d291ee7d,31042201,46302124.0,42.20647467,-72.62851167,1281,899,812001-4
d3b70c46,31801122,35548982.0,42.20668349,-72.62873371,1467,634,812001-4
e1c934cb,31801148,49761237.0,42.20674071,-72.628734,1467,634,812001-4
f8395424,20377589,49755777.0,42.20644546,-72.62851152,1252,916,812001-4
efe2ce13,31042225,35567560.0,42.20662627,-72.62873343,1467,634,812001-4
92385009,18195556,46300170.0,42.189731,-72.631421,1442,1110,812104-4
9b41e5eb,20380962,92351332.0,42.19693549,-72.68732074,1258,1920,812101-1
46c9ed9f,20379602,35612125.0,42.19725885,-72.68664629,1415,1550,812101-1
17f66184,20380380,35567077.0,42.19722325,-72.68605259,1438,1920,812101-1
924697f6,20380968,97048905.0,42.197102,-72.68722155,1277,1744,812101-1
4061967b,30129165,34348994.0,42.20501785,-72.61445765,1403,705,811600-3
